0 [1, 5, 3, 2, 4, 6, 7, 8, 9, 10, 11, 0]
g [1, 5, 3, 2, 4, 6, 0, 8, 9, 10, 11, 7]
h [1, 5, 3, 2, 4, 6, 8, 0, 9, 10, 11, 7]
d [1, 5, 3, 0, 4, 6, 8, 2, 9, 10, 11, 7]
g [1, 5, 3, 8, 4, 6, 0, 2, 9, 10, 11, 7]
l [1, 5, 3, 8, 4, 6, 7, 2, 9, 10, 11, 0]
h [1, 5, 3, 8, 4, 6, 7, 0, 9, 10, 11, 2]
d [1, 5, 3, 0, 4, 6, 7, 8, 9, 10, 11, 2]
g [1, 5, 3, 7, 4, 6, 0, 8, 9, 10, 11, 2]
f [1, 5, 3, 7, 4, 0, 6, 8, 9, 10, 11, 2]
e [1, 5, 3, 7, 0, 4, 6, 8, 9, 10, 11, 2]
b [1, 0, 3, 7, 5, 4, 6, 8, 9, 10, 11, 2]
f [1, 4, 3, 7, 5, 0, 6, 8, 9, 10, 11, 2]
g [1, 4, 3, 7, 5, 6, 0, 8, 9, 10, 11, 2]
b [1, 0, 3, 7, 5, 6, 4, 8, 9, 10, 11, 2]
c [1, 3, 0, 7, 5, 6, 4, 8, 9, 10, 11, 2]
d [1, 3, 7, 0, 5, 6, 4, 8, 9, 10, 11, 2]
g [1, 3, 7, 4, 5, 6, 0, 8, 9, 10, 11, 2]
c [1, 3, 0, 4, 5, 6, 7, 8, 9, 10, 11, 2]
b [1, 0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 2]
g [1, 7, 3, 4, 5, 6, 0, 8, 9, 10, 11, 2]
l [1, 7, 3, 4, 5, 6, 2, 8, 9, 10, 11, 0]
h [1, 7, 3, 4, 5, 6, 2, 0, 9, 10, 11, 8]
g [1, 7, 3, 4, 5, 6, 0, 2, 9, 10, 11, 8]
b [1, 0, 3, 4, 5, 6, 7, 2, 9, 10, 11, 8]
c [1, 3, 0, 4, 5, 6, 7, 2, 9, 10, 11, 8]
h [1, 3, 2, 4, 5, 6, 7, 0, 9, 10, 11, 8]
l [1, 3, 2, 4, 5, 6, 7, 8, 9, 10, 11, 0]
g [1, 3, 2, 4, 5, 6, 0, 8, 9, 10, 11, 7]
c [1, 3, 0, 4, 5, 6, 2, 8, 9, 10, 11, 7]
b [1, 0, 3, 4, 5, 6, 2, 8, 9, 10, 11, 7]
g [1, 2, 3, 4, 5, 6, 0, 8, 9, 10, 11, 7]
l [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
