0 [1, 2, 3, 4, 5, 6, 8, 7, 10, 11, 9, 0]
k [1, 2, 3, 4, 5, 6, 8, 7, 10, 11, 0, 9]
j [1, 2, 3, 4, 5, 6, 8, 7, 10, 0, 11, 9]
g [1, 2, 3, 4, 5, 6, 0, 7, 10, 8, 11, 9]
h [1, 2, 3, 4, 5, 6, 7, 0, 10, 8, 11, 9]
l [1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 11, 0]
k [1, 2, 3, 4, 5, 6, 7, 9, 10, 8, 0, 11]
h [1, 2, 3, 4, 5, 6, 7, 0, 10, 8, 9, 11]
g [1, 2, 3, 4, 5, 6, 0, 7, 10, 8, 9, 11]
f [1, 2, 3, 4, 5, 0, 6, 7, 10, 8, 9, 11]
j [1, 2, 3, 4, 5, 8, 6, 7, 10, 0, 9, 11]
i [1, 2, 3, 4, 5, 8, 6, 7, 0, 10, 9, 11]
f [1, 2, 3, 4, 5, 0, 6, 7, 8, 10, 9, 11]
g [1, 2, 3, 4, 5, 6, 0, 7, 8, 10, 9, 11]
k [1, 2, 3, 4, 5, 6, 9, 7, 8, 10, 0, 11]
j [1, 2, 3, 4, 5, 6, 9, 7, 8, 0, 10, 11]
g [1, 2, 3, 4, 5, 6, 0, 7, 8, 9, 10, 11]
f [1, 2, 3, 4, 5, 0, 6, 7, 8, 9, 10, 11]
i [1, 2, 3, 4, 5, 8, 6, 7, 0, 9, 10, 11]
j [1, 2, 3, 4, 5, 8, 6, 7, 9, 0, 10, 11]
f [1, 2, 3, 4, 5, 0, 6, 7, 9, 8, 10, 11]
g [1, 2, 3, 4, 5, 6, 0, 7, 9, 8, 10, 11]
j [1, 2, 3, 4, 5, 6, 8, 7, 9, 0, 10, 11]
k [1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 0, 11]
g [1, 2, 3, 4, 5, 6, 0, 7, 9, 10, 8, 11]
h [1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 8, 11]
k [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11]
l [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
